experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            4.933899942923703,            False,            4.400000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.186105800489424,            True,            4.600000000000001
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            4.417659592543975,            False,            4.600000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.349834272514668,            True,            4.800000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            3.92275709111692,            False,            4.800000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.48785514866349,            True,            5.000000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            3.4503673794288483,            False,            5.000000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.60133820595088,            True,            5.200000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            3.0014515941467073,            False,            5.200000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.691502158209554,            True,            5.400000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            2.5767673404849045,            False,            5.400000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.75960438130045,            True,            5.600000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            2.1768793938888713,            False,            5.600000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.806931147192367,            True,            5.8000000000000025
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.802170732277026,            False,            5.8000000000000025
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.834788389232932,            True,            6.000000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4528538070145096,            False,            6.000000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.844493015543206,            True,            6.200000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.1289819671323977,            False,            6.200000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.837364782538778,            True,            6.400000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.8304609574281789,            False,            6.400000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.81471873606552,            True,            6.600000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.557060417030721,            False,            6.600000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.77785822350438,            True,            6.800000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.3084253108103914,            False,            6.800000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.728068476420116,            True,            7.0000000000000036
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.08408723167360765,            False,            7.0000000000000036
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.66661075988287,            True,            7.200000000000004
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.11652448269622218,            True,            7.200000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.594717081461086,            True,            7.400000000000004
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.29407186970550203,            True,            7.400000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.513585450054908,            True,            7.600000000000004
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.4492977441400239,            True,            7.600000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.424375672196744,            True,            7.800000000000004
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.5830154236065566,            True,            7.800000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.328205671178086,            True,            8.000000000000004
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.6960988129318935,            True,            8.000000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.226148312356768,            True,            8.200000000000003
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.7894728785726484,            True,            8.200000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.119228716245297,            True,            8.400000000000002
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.8641045395174145,            True,            8.400000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.008422039467224,            True,            8.600000000000001
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9209939967803114,            True,            8.600000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.894651702383676,            True,            8.8
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9611665193988266,            True,            8.8
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.778788041125042,            True,            9.0
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9856647008660504,            True,            9.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.661647360902117,            True,            9.2
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9955411961535345,            True,            9.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.543991366806079,            True,            9.399999999999999
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9918519459205062,            True,            9.399999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.426526947826131,            True,            9.599999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9756498911618583,            True,            9.599999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.309906289507023,            True,            9.799999999999997
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9479791784235474,            True,            9.799999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.194727290524845,            True,            9.999999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.9098698528115421,            True,            9.999999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.081534258468114,            True,            10.199999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.8623330333398698,            True,            10.199999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.97081886026152,            False,            10.399999999999995
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.8063565627044207,            True,            10.399999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.863021302951658,            False,            10.599999999999994
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.7429011213310116,            True,            10.599999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.758531720977263,            False,            10.799999999999994
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.6728967935268776,            True,            10.799999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.657691746560968,            False,            10.999999999999993
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.5972400717617312,            True,            10.999999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.560796240475542,            False,            11.199999999999992
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.516791283514199,            True,            11.199999999999992
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.468095161145136,            False,            11.399999999999991
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.4323724237378856,            True,            11.399999999999991
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.37979555083163,            False,            11.59999999999999
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.3447653748233116,            True,            11.59999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.296063618518247,            False,            11.79999999999999
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.2547104949518915,            True,            11.79999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.217026900027651,            False,            11.99999999999999
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.1629055549493093,            True,            11.99999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.142776476890578,            False,            12.199999999999989
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            -0.07000500314071118,            True,            12.199999999999989
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.07336923650411,            False,            12.399999999999988
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.023380462718986972,            False,            12.399999999999988
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.00883015717732,            False,            12.599999999999987
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.11668403762895466,            False,            12.599999999999987
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.949154602746741,            False,            12.799999999999986
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.20938268693506873,            False,            12.799999999999986
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.894310612546564,            False,            12.999999999999986
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.30099678058473306,            False,            12.999999999999986
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.844241173629891,            False,            13.199999999999985
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.3910895051203346,            False,            13.199999999999985
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.798866463249762,            False,            13.399999999999984
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.47926607418652056,            False,            13.399999999999984
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.758086050714073,            False,            13.599999999999984
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.565172757912731,            False,            13.599999999999984
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.721781048819773,            False,            13.799999999999983
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.6484957510180727,            False,            13.799999999999983
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.68981620614193,            False,            13.999999999999982
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.7289598988828307,            False,            13.999999999999982
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.662041932496294,            False,            14.199999999999982
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.8063273001515094,            False,            14.199999999999982
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.63829625090417,            False,            14.39999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.8803958036880534,            False,            14.39999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.618406670361207,            False,            14.59999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            0.9509974169062148,            False,            14.59999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.602191974642421,            False,            14.79999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.0179966416573918,            False,            14.79999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.589463923261668,            False,            14.999999999999979
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.0812887529853885,            False,            14.999999999999979
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.580028861541395,            False,            15.199999999999978
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.1407980351613136,            False,            15.199999999999978
