Experiment_name, System, Variable, Value, Time
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            7.18073165436423,            3.800000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.253047646130359,            4.000000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            6.595491772052422,            4.000000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            6.595491772052422,            4.000000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.529940034334636,            4.200000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            6.024567625527891,            4.200000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            6.024567625527891,            4.200000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.777156623264352,            4.400000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            5.470079659198225,            4.400000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            5.470079659198225,            4.400000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            11.995559647814863,            4.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            4.933899942923703,            4.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            4.933899942923703,            4.600000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.186105800489424,            4.800000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            4.417659592543975,            4.800000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            4.417659592543975,            4.800000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.349834272514668,            5.000000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            3.92275709111692,            5.000000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            3.92275709111692,            5.000000000000002
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            12.48785514866349,            5.200000000000002
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            3.4503673794288483,            5.200000000000002
